id,ID,X,Y,ELEVATION,NAME,FNAME,STATION_TYP,geometry
myGeographyPortal.140,B4SUMR01,15.330078,49.175992,650.0,Studená,"Studená, Sumrakov",ASNS,POINT (15.330078 49.175992)
myGeographyPortal.141,B4ZITK01,17.867778,48.9925,705.0,Žítková,Žítková,ASNS,POINT (17.867778 48.9925)
myGeographyPortal.253,C4JAPI01,13.421341,49.036142,1062.0,Prášily,"Prášily, Javoří Pila",ASNS,POINT (13.421341 49.036142)
myGeographyPortal.254,C4KEPZ01,13.316389,49.183611,928.0,Kepelské Zhůří,Kepelské Zhůří,ASNS,POINT (13.316389 49.183611)
myGeographyPortal.255,C4STHU01,14.706464,48.71085,780.0,Staré Hutě,Staré Hutě,ASNS,POINT (14.706464 48.71085)
myGeographyPortal.256,C4VETR01,13.836944,48.978611,1157.0,Větřín,Větřín,ASNS,POINT (13.836944 48.978611)
myGeographyPortal.257,C4ZBYT01,13.969167,48.925833,792.0,Zbytiny,"Zbytiny, Spálenec",ASNS,POINT (13.969167 48.925833)
myGeographyPortal.258,C4ZLST01,13.336389,49.104444,1197.0,Zlatý stoleček,Zlatý stoleček,ASNS,POINT (13.336389 49.104444)
myGeographyPortal.343,H4DDHP01,15.654731,50.676074,875.0,Dolní Dvůr,"Dolní Dvůr, Hanapetrova paseka",ASNS,POINT (15.654731 50.676074)
myGeographyPortal.344,H4LUIS01,16.38829,50.287003,875.0,Luisino údolí,"Luisino údolí, Deštné v Orlických horách",ASNS,POINT (16.38829 50.287003)
myGeographyPortal.345,H4SUVR01,16.693368,50.049859,995.0,Suchý vrch,Suchý vrch,ASNS,POINT (16.693368 50.049859)
myGeographyPortal.442,L4LAKY01,12.641703,50.011397,835.0,Lázně Kynžvart,"Lázně Kynžvart, Královka",ASNS,POINT (12.641703 50.011397)
myGeographyPortal.443,L4PERK01,12.779285,50.363232,842.0,Pernink,Pernink,ASNS,POINT (12.779285 50.363232)
myGeographyPortal.444,L4PRAH01,13.81838,49.65889,862.0,Praha,"Praha, Brdy",ASNS,POINT (13.81838 49.65889)
myGeographyPortal.445,L4RYBN01,12.69832,49.515385,710.0,Rybník,Rybník,ASNS,POINT (12.69832 49.515385)
myGeographyPortal.446,L4TESL01,13.761819,49.619132,720.0,Věšín,"Věšín, Teslíny",ASNS,POINT (13.761819 49.619132)
myGeographyPortal.585,O4BENE01,18.292204,49.396303,850.0,Velké Karlovice,"Velké Karlovice, Benešky",ASNS,POINT (18.292204 49.396303)
myGeographyPortal.586,O4KLEP01,17.133821,50.007192,700.0,Sobotín,"Sobotín, Klepáčov",ASNS,POINT (17.133821 50.007192)
myGeographyPortal.709,P4JABL01,15.438379,50.695027,439.0,Jablonec nad Jizerou,Jablonec nad Jizerou,ASNS,POINT (15.438379 50.695027)
myGeographyPortal.710,P4JDRO01,15.22405,50.82287,993.0,Josefův Důl,"Josefův Důl, Rozmezí",ASNS,POINT (15.22405 50.82287)
myGeographyPortal.715,P4KOZA01,15.263056,50.594444,744.0,Kozákov,Kozákov,ASNS,POINT (15.263056 50.594444)
myGeographyPortal.716,P4POLA01,14.844278,49.455925,680.0,Chotčiny,"Chotčiny, Polánka",ASNS,POINT (14.844278 49.455925)
myGeographyPortal.802,U4ZAKO01,13.354974,50.549858,828.0,Zákoutí,Zákoutí,ASNS,POINT (13.354974 50.549858)
